bid,uid,rid
6OjnX3ZdDOhHxWR60wysg,SJvCPlJ5X6Jkbc0TggIiCg,ZdDPSawRmIw3RNKEWpstxQ
6TttC1rf5gC0QHWrs_w,sTeVnzl9Of4NyMNW5UfMw,IMuu5cQ3VvC2PCadEcVniw
6kNhGurAbdNQanqbAaoMg,cvgmG9IfDV7eGuHx7B0aYQ,fH_2PXh6R27cNw1HhCX0A
7GDqSUaXrpC8Ql7nDBxWA,65uUi6TEmNcmbHXvlyGQ,f7JIJMeqtWhZYFPva_UwUg
7KAng29RoHr87mvOFbK9w,TN72tCIscvaW93aQQtT2cQ,F3mMQrT5LHGTdzLZDoERbA
7wXZWnKe26iwJY_5z_AAw,5wiCpI59mc_rUVwrYqwqrg,bs_UXRZqmaoZ9E1q8zUYQ
8_ufROuDzIWxFAny4FasQ,i0zB8_DdVQhrrtgduevRg,PP4RqdEhu8CNQTfwR1IAsA
8gGD85_jZvapnmb3EvU3w,lYEHrmav7DI2aZDRxJQA,SICSoJAXffXl_6pzd1hohQ
8iATYRnN46Km0_ldx6cg,_4vIt23lFHpjxNTsPUndcw,IxNWY8odZ2zYhy6TNHQQg
8jIGHKz1Tnv2X85kxbvQ,QBo_DpoWdrsOeM3O7NmO5g,f_z_A2JdawD8epoPD0D0w
951Q5ifJmCQbO40meVPw,Gv55B0DlccNUa2mTmnYONw,ItGEJLCdRqwwrYABdUItxg
97632CUoOkJ8x4AlkPJxQ,ElsRrneCjZfjcoGu1LSzDw,3v2ZJNVVsbJcVJjhIPSKlA
99CauTgdResVER5NvRTfw,5BFfCZYT9GTvj5dklPMWw,scN6W5OK9GfVLSm5VOe1w
9rRsa_9GTkSYkPdKa7T8A,rTH8wkx9Dj1cA7c0RfcFA,Ew6lT_68mPxesphmG3w1iA
9w_8PChjtA42yGN4yoDRw,C5IrHasRG1Dw1TRPTHA3_Q,csawBEA_kOHuRrTdgSyEsQ
BFrwPGCH22kRPvFrFk4Q,SqtavkRzkupistoH6ymWdg,6Pdk_4iNWxEltZ_DVEmU0w
F30mTCP0dUr_mm57NxUQ,D_5jkEZ72Sq5ZGHmwNgeGw,daLrWs1_KP8D7guua2GUEg
JStjL8mRZq4ov4uI1FaQ,9U7cPas2fkCivzTC5ph8Fw,zVNL_IJu5RZwvH8EtlwDAw
Uxhjv9aZqE2VDGXo4Iw,2idGZbZFCz8ukGCp6rnEDg,RFVcOwG4i6s_RpXNEb7k8g
Wg4lsLfS3etcFDz6GPpw,IpXdrL7uInJmkpPY6OMhw,FXApm1zgAcHkkOzgQjdtlg
ZXjWCTxItm3wPkgsf8zQ,ccjIjaCdRS_akvxSBTxYtw,grdMnjM1yG7R3g2mA2QU1g
a0kKyJPMw8z5AjfQstTw,4ODYXnzQHDKAGUmquKYX1w,fA4uS6ZYafVYMi0Etpa8DQ
bxLBGgtchdO62CdDThA,Yy4XCqZmZbDXk575roLGwA,NsWlkyCPbygEWRNPLc1pw
c6hc8kxFzeaIKoM6nWSQ,_H_B0hAGePWDj9A7F3G9Kw,MX8vlqqINEPD0JT0ueumvw
ee5czr21mfEJGrbZ572Q,kBsPXQWeziYJiY7JyTE0QQ,9MNrq01eEi48UCSXgFBVg
gJ3m24voBGR8fS_hQN9A,ZQlvqtjEpDYNKtEKY7JIxg,UJxXjPjqxo6xxV_AspcwLQ
gx2zqPkSs7aGZ01bDb7A,ekHqweyORBYqSou6pOl2uQ,qQjGKhPJe7aWSC79R7Q2YA
jkc0YYvwkBaNnNyiUHNg,WFD7m1LrUxRB4HgxjtilRQ,vPQD6sb6GI3FB1Vi2iPSkQ
ltRJORr7MhOh7g48HQwg,bCDrsRUHHSMLs0nAg9FZvg,onASCI5AXVp3QQauDAsQUw
r3NgzSEUuVjV9PLI2ssQ,aNAejmdpCPr9H5DOwHMaMA,Pk_NstriMPvdD7f9MdzlwQ
r6AXDYz2rG6wclu5rZuw,LyualG1IPTOxP1ZOyP2c0w,XZnswyGWdbVuCuELvWO3hw
r6nmLB5Vi2TLQCxh0_dtw,RzeuHyl10RrvDOfSshffrA,KfFEftoNWnENxO8fwtmM5A
uzQNt3jsRK5okUuJiQLA,yQLnhEpBpxbNHeGFpATwBw,3yUkWcQIYQZBQFVib7U61w
z488XvNmHIn3yv3N13oA,rw_23mOFVVP_7DjgaOXVSw,z2B9CGBEAjUzaLLps7dGqQ
zH421AauJru4EFs7Rgw,2AfCtgWkuKrV09g2f8KnIA,S8hV6QRG_986Zhlf6Wx6wg
09PkkpEM53bTgUQols9g,ZCbJQFRIMfqJQv9XG4XcA,Oce5XO0pFblm5vpbYNicvA
0BLZd37lMUODMuYAtKgkA,n8Br86Wp3AXKNRTERsg,9ddcoRv95s8d3SmAUjC_QA
0JRAY0LpBazDuA9761U5w,WjDSSPFOu9JrR0XmidZRpQ,kCdlDGOMTW5HxUaTe_ZKXQ
0PClaUWGphUvuTH8wQ51w,dFsZHNkZAhCsN_A7g8BJAQ,R_LhW4VdxyC0FUb4K5IrQg
0XYsSxJhu8ayKx1f3v_tA,bVwWw9cPB3KMpdxpzEEiGw,R7hPyO8CETw1sarYvPjg4A
0evjpRKnht75t9J3NE8Zw,9fWfqYQsK0mMCwZAgMlX_A,UeV9B_0yPVUWZCQk6JOBQ
0kdvVEyfkusVeWQVC5mqw,Ywj4l2z5k8H_m1qo0EPCQ,lCOufbNTUSRoAAeFCuspZw
000idd3sMexavEppbUqHg,DEhuDIyj8ymgZu0aQKg7Q,oSrsW37_0HYZpWU9n4nsaA
008FLyatMEsZzmmKALIgDg,44__lU2vrTlL0egqEmeRrQ,UBQQvwmKHxECENxFFL8pMw
00rIcvqmfci_oJWkOqPqmg,hMRflx0Uq7XPUk5Acchahw,MnfxN0IUzooT0nNXeVNZTA
00rY5F9ltWIWf2Ev96kOg,epJZyQkCcEQYo6JdDOrtuQ,PHU0xseuxjLpXrPYiNZ4Q
00sOoojttpdZljH8VgOU0A,kQgmjLksME7DbDlP9SpInA,KHnd_R1GB9xNL1a_eXIVYg
0171xkyBr0rxKRGVIBGmeQ,GNOIkaAPr9_nRSz2VdOvYA,Vr1djpWpJFzC5q49IgWpDw
01FJ5If8zeDaURdjP57eA,pjx9_VAOlzLS3ibTi6I0Ow,SLXATGywGwFmkQE84m5zQ
01Vnpln40zgSK6H6pAcd5Q,6RPgeWVgOWAGtqAaaAmtQ,nNeJ0dZ4a0SEToY8nJ1vw
01_VHKfqXzMXpnCm8Y_InQ,25Vo5k5O9o_4h2FhhoFlBA,czAzxORpEPqd_ezACzjHsw
01ikDdFTvc2YXeyvYXjg,XzpJ4uHkxARCFQiZ9bffyg,SSfrvobumSFimp21upk8Aw
02Kx1YpAx6jm2AFKGHd4rg,9FXE6TIgo1H1_VvEBgn6Jg,YxYsad7EDaNZW9vp7hIuSw
02PoEXj8TR7FQZvUV48o8w,PGkMTm3hiermfR6TE498bw,lwCfEEm6vVxduUP8w4bhA
02euPBQRCGkdt2AnJQzJUQ,Q0KVH3GqqIFeVIPBP5oK8Q,H7BsTynCf519cMJl6ofk7Q
02exrrOiVaTnrRXQGaYCDA,oktwlrXj6Ev5WSmtgQoWDw,Riwt8fwEYAWFyKCNPJeTmg
02jZC7oX0SbWXVFboNwFGA,Un892lI4rmwt3buxuvvQPw,934yg4vLwPGYTaCgzSiFAg
02nUjwVmJGTgGyiIihklg,T8aDQYrKanQEY4FPEb_wcg,kEZfSh6cfU5sCqCHE0QRBg
02nb6CI8w2EoSEkQdk2Wg,GX4lio7E96sCpRsyUfzGdQ,Cf0fc_kQCPkkFPAX8gCtdg
03YfclexPdS_yrIbU6ahaA,s1pJ0zIa3Gsdre9XgooW6A,cA3DaNoFOG2XjTztGOjZBg
03Z0iTZ29Mh02OXE7sPBQ,PPJcGwJmBKDgOXFoHaZLIg,gkBbdgW93w0HBU8zgfjwGw
03bT1qQMKMIXJSCGCRv1Wg,Z5rZK3fdP48sbTPjbtcrIw,TJOliX138v45DXGkzGE0YQ
03eK3cN3PoumXIRs06nZnw,qnzx7p9pmtXysvOuXz1Nw,P80udjtq68wvp0DytBKudA
03jQGGJ2ch0uHTtWUUUqg,OffzzT2HDiiHTknbcVUQeg,GwwCKQH6SaYEF7pd2iHa1w
03uwHrKSntiQvfxs4z84g,54_sc3jdwaSVeCMVqGDfYw,Pz0E6hMyEgUD6iaoYXwgg
04UD14gamNjLY0IDYVhHJg,zZkxiDr6aoG7rtwOxTj33g,hEf4K21V_IkmfTlN4b4ew
04UWD_QOyfnNxcQ04M0g,QS6ZvpEBWt5Ap2tGtO7jAA,4CQ8ULTuVpJ1Faz6kZQVLg
04o5yH6y_49RkLuEaiW5mg,m1OhStv_gXTx_YbfUqO6JQ,DRed4VD5zgKO_iSKK9vS5w
050qnpy_nvxRLBR11HtEHA,kH127znvbYvaqc9JTwiZvg,o71JAllfUNbr7nKipK_Hg
05471AhNLv1NxKoaVs4gYw,hOOnQyb6WNQ7hNLEoANdrw,FDzgIn4siVSHJ5vKclPYg
059fmQtYFQv3hINwfpGsw,B6GxZ6BmLu5Wp0cyB4tZOA,LuIU5U7_Q4Ue9QnokileQ
05CNVnCXcgfPbdz3R91d0A,QIAg7QQ0cvvEkVbqf44iIA,sPl9Xp443iB08sBMB09N5g
05dUFDFPr4St3SOi5t3fiA,BjWsgLztFzI1a4hPQTj97Q,P3lOEPK6ORryy6oHNDRnQ
05ev984NYfimRN0UiFrxaA,2Q7mewG07Yq9wXZ2jO3GDQ,4WtkjKJ9TM7tcpFbMadV7w
061FpJWUbhSFPZEXSpdGQ,aj8Fi2Fz1_ESGYbP29gOA,KuNbGgGVAJQvBzbFn_oQJw
063mwbEdc9J4h4QqEdpvg,RQjtzwpJOU3_g_KxsbgUw,_xDBOPaDrlcJWVIqpWJNCA
068DMaEKghlGsSzJPuLucA,rTKK_3W3gIQEohj0QSFWA,TPg6dQYUwdlLyNGAq3EEAQ
06NHXjVHiGKNpZ2XeajVkA,S7zVbmIA1MHaTBqoZ6x8Q,XBaoL7A0TDVNucZBV2mg
06PmqoU3uY5VbBEaMPVfw,EZfuQXycWlfXm0pzqvOsgA,DhxCDVVeJvCVEZV2NUH68Q
06pNHtxgPhGhZpM0Z2uzNw,IWCP92zt1KmiiIa_rUliHA,iXmFwMPf1Q_uyRJz2DrTzg
06yarCUo6OBNAIagXjAp_w,bQTQInwWnPwyuRNI9jSsw,5zthYAVmtbHW2156D9o_qw
070Sixz8aXNoSbH049PDA,_zafXLDWQSQDX0ULHLAtQ,nQKn7pWw_zyaU8SIyHTFg
0784txBW2zSqStI7Xzw6GQ,Q0UjO_xfdQ0jsKFxPePS6g,mUKHH6LnEocDV1i0nPKL3Q
07i5EdI8v2FBhVVrya8Wg,1VhNJHU4Cs0yUVqDmKuQNQ,4cK5MbXa9COg4CwSzGzbw
07j0eaVt1aggrshdZqHhIA,T8ChPPrwUYwGY2irzNo2JQ,O6cZv5LuNcmRXQEN2TF1uQ
07yUvKzFbyPzJKoT0zamQ,aXIYpxSxwxxBgcSy0xmMgw,NOjFt_wEqovNdZq7y0NxZw
081vVr80uscqGGaFAxKfQ,CdmQfB4zWqm00ZAufloFg,khYhYd4z0lKnyQ1moVtCrA
089cd4KNxpZ0Ii1tJps3Sw,kd7SGlJ0iNY0ptHmV2C3tw,EFLWNVuGdfBfowhOQUtAmw
08LQAC48MVFa27YZKahEkg,vDACtEdgJP3mSU0_NA0Pw,MlYxVSUNrBe8tyTf7Ej1w
08SYU1uLNCned0Oyrh06JQ,LITvkszC3NdEgVCnqqLryw,o3mSRsuwb64pbs4581xWuA
08XjRgU24kHcikWd4Rg7rA,yGnXNHRpeej61LUfzcb_zg,gCZx5CpS8869JceTZeBPMw
08zAKV1SpTIC_YVwBcBNw,I2XpWCHAom1JRyHXZQrnfg,uahL8J0TFFPETicJqRW3Q
09izIShLukoy36bBOWfKAg,8vnBHsxEk60gB7uTyVRaRw,N3c5TTDIvUPCErFShHRUg
09za1h1fdeF9rTSviTV3zg,51r0_XnhlHsnXHFRsiX44w,SzL86MAQWV2_k0ymhNvvw
0A2w6ViIzZTpB1a8da6A,RsXkcBLSI8PrBG7RgBetA,ThVVLmQjr1OpazQN8P_zpw
0AG_tGzuGKpzqwy4daddCQ,KFpTSfv6fiOTvUEh9su2sg,UYPQvQMg9U36GwqwtzSV4g
0B6JY3Ky8iB52rPooB2Tw,NxeUb7RNTojCz7wpeXpK7A,7wUhliy3Of9sB_uqqaS0uA
0B6jSpefLqVlGzUei5BQ,2vBAy1ZSy0SXzexUagnw,hrrPwQaTDB1mG06ln2Dg
0BJy9ThexE_M912gkwDHQ,1gBoe390ovFIiDKVhGL6yQ,YBp2nJQ1hSG938UdXiPJow
0BgrDm4tfQBtlEVZqtAtg,1P5bN4gnWRn9d_NDCkhKJQ,o2d4Ywn5zHSZ8eb9OB2g
0Bn9pMb_qcBO5mZYa3QAEA,3pTivFmVzOFqKKHIbLrnlw,dhESilx9V0pDKF7Aivjy8w
0BoRHt9GuiXzmvNmrBVMOw,FRDeSt5dcTv4bEKuaAVgkg,lg_jWZOiFEk8V9sAOhFUg
0ByzGehS0T5muzZ2qYGq_Q,2XduHujRHBS9FU9VHb2qqA,Ms2XerG5CHgmti7B0TWIbw
0C3T3J5AWrHTkkq3K5oFwg,IT3bWay4u4t38vemME_akQ,zzoaXr32f3JMjh3miNUDtQ
0CEUpFtaKhxbmrbSdP9MUQ,9rap70nv9cKyaiph82sgw,Uhhl6OwznBL8DOfNNah8ww
0CLCzdedGT2DPjkYM52Tqg,hQgWwIjEbn47nN2BIr_LyA,FcgDFKp8MLdssI2_Ipmlag
0CPhgQAtXvxsmyFNJah16w,S8a2q3hemUh7qLgWJcOQg,LwZ6ReQdqlvCu1ukYQwRoQ
0CSiz9Q_xuZ9YNq8KLRcSg,i7T7ugqiqe1PAJgfMSOsgg,GtOhWoDUIkG9Dmq7gTLErQ
0CV2eRgKQK6_heNNdqrVeg,xaNlv8FlWLsHTff136wy8w,AAKZwJjhbcka5tpPt79w
0CeDwvLyRVgrfqDHk1sQ,Zu2VqR1Ia6ANbbc7tw9WA,og4HmLZdIxHEtA1GoRxGHA
0D1UBNxkT17qejQjjlZurQ,ANyyDBgqq8B9_zQj1slllw,B8UhSC4YNG1XvBlska0WEg
0DBf72U_oR_iDDXdOx4a4g,SgxD74CkftmYxm2KNKgg,_3gI8HhFdPzl1LuIcstx_Q
0DbIUh_Xuj6H5B_SF0RLCQ,bmycKYAvUwBX7PIv3OQgA,6wPzfIlWiWGh_pdt8kxuCg
0De2juaQqHNUYsvNEj9RA,1rCtEc1hzFF4m5zJ4wngHg,7aHEVy95aZRYHI4Ayta3Q
0Dwi07FHfPLLIBA6Xa4Q,1iITb6hlgDMO56NumBK2A,p1W0JPOc8Cc1bO30zAfr0A
0ExninKCazSHWWU7QOXow,CZ8Z_uTN3K5BtkHCdzOvVg,0YuZTmlf8fj7q7H5WpZE2Q
0F1WFFm8TJde117UZPbkfA,TrBxqc2xEqngIJUMCxxwXg,H9GmYk3UcnPuwNqO6DoLlw
0FQKOh13Tkcfgbu6qeZtXA,UnUFJot5UD0MttzxKZD5A,0ne4B7J_JEtGvBu36Z9Mig
0FsYHx6mnD0rx4IeRAgROg,91iVN2VxhPdHgWyNwucwA,4v8Bu8IFAsGdE2ZbM90Ag
0GDLQWC_Ptm5U8eiKmtQTg,5RzGP3_5olWrkrwOuCf56A,pVWEgkGHgogpcW40xETIA
0GYR3CNZihkjrdegDHI0g,1P0dp1zoDgY0NV0uHHTq_A,gTBLb_uO_yCFYqbp2uryA
0GnmW0__mF3m7_KHRaYcAg,cPsd031WzwFyhPP30iI3gA,49pVmKcdSe4fiNBm21kxSQ
0GsYSmfpsUpnTnxYbH045A,MAu5QuIKhNRXjb2RXEsA2g,lPl3NyneMWKlpZiyUboqqQ
0HCMp7WxB7ZWtoVl5qGl1A,XrFCag4AMW5qta9QXokWPA,S76SonSe1AuaXnY3dTmhVw
0HzjYHjeL5GvGHMj9XjO5A,dxECLccw0tgMXhoSewIXiw,NZwukmzijuOjXgO_hlRHw
0IFmbpwP1JiWVCG7z9KORw,hGGkWFKapPrHUpGkuNFgA,C3XRLtMm0MmTl54xfCe4A
0IG9w6YCkhz5pnfSip6Nw,GL9vbvSBR_CymWZ9EvY3Lg,zrxXxS03Zh0pQmAtNZ42jA
0JDFe9hOr8tQpp4Nc5YOOw,545PmSjpnduMbXtw5I5JA,VkXOSvyM_fKU2UMbUxMK9g
0JPi9cyV9i3_kDPj049_qQ,ne7caCLAk2j3kD7tzBGw,pAfRuXG6CeHwJrGxAWuVkw
0JQgHiPAQQWkdgbBvEL3JQ,7z6DXIOc6XPNWZ8SsOLmWw,Uk9mDV9HU5oR4wdrKiQlcQ
0JX2lHSYOr18lwZqZ_BIWQ,vWf633qkTZN7yVaMOlHqJA,Gu_7NDgyvxkQcfr6posDZw
0JaJPPwiltLOLC6IEjjC1g,iZTDPv9IT2YUMu4A82b_xQ,mioJsWsOloEB4TTeGDAqmg
0JoB3ThhIDS781Ks1EUQ,DG2hvIzE1Pz8FHuFA5AvFw,jTeUvXoiw0OifX4QbvPNMg
0JpbgItuNiP4KJ4PQ3YvRQ,muUdClyZ8pMz_Bk3_wDQJA,FCpVfX0K4qD9VqHoSksWmg
0JtYhp6td4YlohZHDelnug,GZnJbKiCM5PBHQlqqaRoQ,oh68q5Hu2HYOYp8jFdJJkw
0Jw_Q5vH6phmYxesX9jRUA,QUQwlEqVF7iu7guMn9qLCQ,AbvzR6JTUaLWz6OJyHtEQQ
0Kz6hRV2RhvEC3z9GFG7A,8ncAMvTByW_t0YtZ774Q,UtEJJV_qnFtq4ymwRxN3BA
0K4RwxdAcViifyU3Htzxww,7x7SqqLaCASbpWeJZmQDUQ,lWxtJ6Palbw4l3v9yigtw
0KaePrBSRJwUQaHywCM5Zw,qNm_ANPcO0qzWKK5Nr1UPg,GLRFAxmLvxRLnGBRigPvwg
0Kn5W22UmxOqPj2cjouFNA,5C_C7bd6rZYgiP4puQxESQ,Zb_27vX8weaYyDn_2ZhVA
0KqHMwQIMUFys9rqlT3m2Q,U_BfCEhR_yj6RxRRcSUnQ,jLRBVSDM0BWNU5HNis9eQ
0LBWe0PB3rimYdcRKJCRdQ,6LT4o41vaNKLhBgbcabWyg,_mDeDlIlTKeLSXsvWSuQ
0LVODzlrdeHlA6KJEmsOyg,xxAZ9FjzR15Jbzfhb1kmfA,HuKqMekGK1GKCEfMKrqy1w
0LXdnyZy4ae8J28Ckjvv7w,8MdLRHSKok2RzD2PkeXCOQ,jG0Sqt6uycKsnN8V8LAag
0LhSxEtArvcr5CcOqR5txA,oFn13WuMKciN406EebqfA,WNcQ5tyoQvlZ2qwoTYW3rg
0Lsuuvz1_qdspiwBehdszg,1xcVgzw8SjdJnTtEuLA,vz8dRiC_zvgSHOpyRmVgA
0MIAwPfqJC9yfmIEiAA,225NHSZCGHlDgAsJZCo0Q,xa8ytohjTEPpWQsbyEyGw
0M1l6p96IffjQi9EZsdVhw,z08cL87sY9sVR9H3J3_HoA,Xjrnat758gjKkqBlQ66K6A
0MVeH0735wd8mr3Nr_3UA,SixeNtQJBfnAR8EfcSOvA,QhGVyyD4wvnhMQOQzWGpjg
0MivygP7tD4AWbskqYmMuA,YOi6qv1GErgxJKaLlZYaA,Ef_rnxEfbmq4V23xnbCLNA
0MqOEmf84nhurrynm_rtQ,ae5lK90NxW6gh9M1AhO5fg,pasgxtBmpk5UnZf6ShlhQ
0NkRPv4QdGubH4xVD1DuNA,01W5YuohCa2DdGC9SkqQ7g,k7EBKYD_SkMptLRIvcUenw
0NtUzPQr3rykg6km2F6L7w,X0yOvn1j25hGFEaSube4bA,_DAa2T03o7ovy9C3yEbxWw
0O84568oWikB_QlcvdGwjw,CXWJYhMFEephHcrz9fidVQ,0hoyj_YeJ7NVupZFU_tEvA
0OE56zbigcNxVeJPmqtV0w,tt2gpfemnHgE9DFEufajoA,cznevPcshnmCi8wwSm9o8A
0OJ6J4AoqpxjwQPp159lcg,doJscWSnScDCadc4msK0BQ,YvH4odFM8rBbQeXZNHA0TQ
0OoRQ6jh6h6HAbmMB6o18w,KNt6RzxrNxIBTUF0NhcPyA,a790nFhEOGxF5PMKcLPgJQ
0OsR9lO16jxa0xWUY57s9g,q3gxszb9w0km11oy86__kA,hAWjJa0YfiQIpdQYCYDIDg
0PDe8TxXHoROxpujH8e6A,XbVH_vnLNm3V2iAFxLqBg,evnAzWiTTmp3K14dkUmMIg
0PN6PHCYD0UPFSmNI2NjNQ,V6gV9b4ksWxkpCNm5s0g,6Mmik4yL5Hb5gQRZyr4sfg
0PfBXe39wlLmSUt8W1hcRg,oPCL1w4043guov6mjrRcw,VoNs4ACjqAOAwpVfCx2stg
0Q6P0JK_8HwJbeI0jTt2Fw,AEKBfKt2niNzbCFFkw05oA,PPukOjSTduHQJ9G0CrEmyQ
0QKdimej8VlFkErUosx4A,rNKqxR4tdNn5T5eihOSTA,HzzabJ8LSYXTMCJJdreHTQ
0QgAyxKXAHavVgG7BRlV9g,u_NeM97CgZe2ehoO5fQtHA,q0QG3fTMi7LpgE8oLRV35Q
0QsG8XsmzjmQH5lez5A,ID7ccpPgEZBdqO0lSFqnQ,MEcPxYTVBlvlq8x4A3maQ
0Qtdf4lh7BW5R0KLD7uy1Q,Sae1lxPk76Ew2eVDFQ36A,sSX6DqsVVIsf8UHiIbxgTw
0R2yKDNMUztQwgo8pG4zQ,Jt60HrXZ3SkFglPzrtP0lw,UCVSh6JyvxHpgSkayeWSMA
0RLHBKEktSRh9bAwQWn5Dg,FrVkg9UtPmw3BILfQ1h6Zw,lWpubOWIQe2cgkWE9nopnw
0RkViy2rkoWHWrOMUbCpdQ,oaY3Y8_7qWlAwfk4hWRLXg,dreMuoBBzkLQb8RENXirA
0RxW0oN1s4zgNh6uiWVPZQ,w89TrDsJ4fUy5lPjELQ,2rPp6fWvXUuG87BsbZDjA
0SZy4uieBzBzg54vRdAfgw,HZ0FSJhmg4FrXCUJPJDvYg,D5VjvvRxsX0Pv6rZJ1TYA
0SfpdMhddPXRJgp3d3z3uQ,ABVyWx78WyNGU2Hkrie5Hw,Qmuba1CYHBlG6NBKEaqoA
0SvGLyIzIBxNfgyOcNEteQ,kFmnBSoL5W1LK1JEzaevcQ,hYF3XZfjJh86lBEYBBhEWA
0TNu_MOiizGa_75jqSaAvA,ju0ZXf9vQ1_wwzSAMC5m8Q,BHbcrcpdckBXAEKhMFoQ
0UCh75Aoz8YMe9nrnjawwg,_BcWyKQL16ndpBdggh2kNA,ncr4yEWjGgBbtao6YXvoDQ
0UVx40zcIeh6wb_I4QzfQ,wxGH7yPqGFTsFtWKtE3EqQ,G6gozVO2dG3Z3WSEDQyaQ
0UWnywCQg8eHVkvhl5QYg,yLOHrp1kv9Ut4rFVDAN8w,vSWPNvL7L5r8Fbm3dk1Q
0UYnR_LFV0KSlYFRi3PA,0ta9WeILVIDFiI8E1e4JWA,31ypQtPCV5Hs9DajlOaXw
0U_OKGqqh4Zso95bevQqFQ,AGL4hjtLTpWNrO7uGIik9Q,ZySVrpKRMi_BCa0JUDzHLA
0Ub8i_sMIOsa0jbXNzsl8A,AAYvaNRQ0TD_2LpowFOUA,6fP1vNJrhjHK9rH2AF7PiA
0VZAR9j0T3F8XUAk5rvcTQ,U4nEX2aqo00zhV66Grt3wg,6YvIC9_XF33B1sVkVHm56g
0VbQPOI8LqNpSmW4rcEMdQ,vyoxWaS36r1Ueyjd8oWzA,W89SxcdBpKmkIKvfq7L4A
0VpfI3LPjntkd_WXZngi7w,US8_VKUfMPu1N9XMNQcL3g,AJ2Fdrq2yx13ejYeqYOP_g
0VujPNSbLhKRnJBpLq9xxg,BIx7KvwQTURTzeXEwPHp_Q,iz6NDRYF_aA0MZzse6eEQ
0W6KJNqUDHw9hPhv79WcOA,jFKD2uaQ495Z3Uw8y4s0CA,IVsbSOJps665LRs4lEw87Q
0W7wiNwmeaFOsgZ6s6atQg,RT09SNgkkat9WNucPbt0Uw,6mFVHQsjn8Nvf9_BfnFS3g
0WFpcVkqvK1_UuqW041_9w,hzpc3LmIE8aWSRNyCfYCJA,w_YRSxMEmLeq4YuPYwv6nw
0Wc_I2zZ5m9gfShZ3AaBhg,5l4cUy_IOQ9xMhCk9QhilA,iDlKdWUVANOErpQ338UDhw
0XEjPw4url15RHkqrcbHg,zhvxVeNlLWBUI9lX6u57MA,qUfzX5NiQoVl0lXzT7Fb0Q
